Player,NF,RW,Salary,Actual
K. Towns,50.8,47.24,9800,69.25
P. Siakam,43.5,42.82,9200,64.50
C. Paul,38.9,41.78,9000,61.25
D. Murray,49.7,46.96,11200,60.50
L. Doncic,53.2,53.12,12200,58.50
J. Embiid,50.9,47.41,11800,56
J. Embiid,54.3,48.63,11600,55.75
A. Simons,35.8,33.17,8000,55.5
D. Garland,37.4,38.09,9000,54.50
D. Booker,42.5,44.07,9800,54.25
N. Vucevic,40.2,39.67,10200,51.00
N. Vucevic,43.0,43.20,10200,50
J. Tatum,45.4,43.66,10800,48
J. Nurkic,43.6,45.38,8600,47
T. Young,47.7,52.20,11800,46.25
G. Antetokounmpo,58.0,57.86,12200,46.00
J. Randle,42.4,44.48,10400,45.5
D. DeRozan,43.5,43.16,10000,44.5
J. Brunson,33.1,33.88,8800,44.25
A. Dosunmu,22.8,25.66,3000,43.5
R. Williams,35.1,29.87,8200,43.25
O. Anunoby,34.3,36.35,6800,43.00
J. Allen,39.9,38.03,8600,42.50
J. Kuminga,10.0,11.45,1600,42.25
A. Burks,29.4,31.73,7400,41.25
J. Brown,39.9,39.96,10400,41.25
D. Booker,39.7,40.68,10000,41
R. Covington,25.6,26.85,7200,40.25
O. Yurtseven,29.5,31.22,7600,40.25
J. Tatum,43.7,42.46,9800,40.25
S. Curry,27.2,28.89,6800,39.75
M. Conley,31.8,33.55,7400,39.5
S. Dinwiddie,34.4,34.53,7800,39.25
R. Barrett,35.2,33.58,8600,39.25
J. Clarkson,30.9,40.47,7200,38.5
T. Harris,36.1,38.43,8000,38.5
P. Achiuwa,23.8,24.00,3400,38.00
K. Middleton,37.7,37.14,8600,38.00
J. Morant,43.5,41.58,10800,37.75
F. VanVleet,45.7,43.67,9800,37.75
D. Schroder,26.7,30.53,6200,37.5
O. Porter,26.0,26.74,5200,37.25
B. Biyombo,23.6,34.18,5800,37.25
K. Kuzma,37.1,38.73,9000,37
D. House,22.4,23.77,1000,36.75
A. Wiggins,34.5,32.42,7400,36.50
C. Joseph,20.7,19.81,5400,36
T. Maxey,26.1,28.53,6400,35.00
C. Johnson,28.3,28.98,3800,35
C. Martin,10.3,15.27,4400,34.75
C. White,30.2,32.12,6600,34.75
S. Curry,26.2,24.76,6800,34.50
C. Payne,19.7,24.45,4400,34.25
R. Williams,28.8,29.06,7800,34.00
C. Boucher,30.2,32.48,6400,33.75
M. Robinson,23.4,26.63,5800,33.25
J. Butler,42.5,38.14,10200,33.25
B. Bogdanovic,29.7,31.45,6800,33
T. Harris,34.9,34.93,8200,32.75
K. Looney,21.0,20.19,5000,32.50
J. Crowder,23.0,24.13,5600,32.25
J. Poole,29.6,28.52,6000,32.25
N. Bjelica,14.8,16.48,2400,32.25
B. Portis,32.2,35.89,7000,32.25
D. DeRozan,39.9,39.32,9800,31.50
T. Maxey,29.3,27.44,6400,31.25
G. Allen,20.0,22.80,4200,31.00
J. McDaniels,20.6,21.99,2800,31
C. Cuningham,35.2,34.79,8400,30.75
P. Pritchard,12.4,15.02,4600,29.75
T. Forrest,23.7,22.59,1800,29.5
E. Mobley,34.3,36.39,8200,29.50
C. Paul,39.4,39.98,8800,29.5
J. McGee,18.2,19.37,4000,29
M. Thybulle,19.7,16.03,3600,29.00
K. Johnson,27.6,23.78,6800,28.75
A. Horford,22.6,26.02,6400,28.5
T. Lyles,23.3,28.33,7000,28.5
J. Clarkson,30.8,34.46,7200,28.5
M. Harrell,24.7,25.55,4800,28.25
S. Curry,51.0,46.36,12200,28.00
J. McLaughlin,12.7,14.88,1200,27.75
