Player,NF,RW,Salary,Actual
D. Adams,26.6,22.84,11600,18
C. Kupp,26.6,21.28,11400,35.3
J. Burrow,23.2,26.52,10800,16.42
J. Chase,23.0,17.03,10400,19.1
J. Allen,23.0,26.43,12000,40.96
P. Mahomes,22.7,28.33,11200,43.02
J. Allen,21.8,23.51,12800,41.92
D. Henry,21.8,14.34,11000,12.2
D. Samuel,21.6,18.69,11200,11.3
D. Samuel,21.2,17.79,11200,20
D. Prescott,21.0,24.22,10600,21.86
A. Rodgers,20.7,22.83,10800,9
T. Brady,20.4,24.60,11400,18.84
J. Burrow,19.9,22.82,11000,17.56
T. Brady,19.9,20.97,10800,18.16
M. Stafford,19.0,23.78,10000,32.24
T. Hill,18.9,18.53,10000,34.8
J. Hurts,18.8,20.28,10600,18.22
M. Evans,18.3,18.16,10400,28.9
T. Kelce,18.2,18.12,9000,23.6
M. Evans,17.9,19.36,9800,29.7
J. Mixon,17.6,17.68,10400,11.6
A. Brown,17.4,16.48,8600,28.2
R. Tannehill,17.3,20.45,9400,11
D. Carr,17.2,17.64,9600,19.4
J. Garoppolo,17.1,18.47,9200,5.98
J. Jacobs,17.0,17.47,9000,16.7
S. Diggs,16.9,18.94,9800,5.7
J. Chase,16.8,17.90,11600,25.9
S. Diggs,16.6,17.75,10600,9
J. Mixon,16.3,17.92,9600,22.5
J. Garoppolo,16.3,17.92,9000,4.24
R. Gronkowski,15.7,16.71,9200,14.1
L. Fournette,15.6,15.60,9000,31.7
C. Lamb,15.5,17.11,9800,3.6
R. Gronkowski,15.5,14.73,7800,12.5
D. Waller,15.2,13.53,7000,14.6
T. Higgins,15.1,15.63,7600,2
T. Higgins,14.7,14.78,7200,16.6
A. Jones,14.4,14.02,9200,29
G. Kittle,14.3,15.84,7400,2.8
E. Elliott,14.3,15.04,8400,4.1
M. Jones,13.9,16.11,8800,17.08
A. Cooper,13.9,14.84,7200,18.4
C. Akers,13.2,10.25,7400,7.8
D. Singletary,13.1,16.19,8800,15.1
G. Kittle,13.0,13.42,7200,10.3
H. Renfrow,12.7,14.44,8400,13.8
D. Singletary,11.7,12.99,9600,24.4
D. Smith,11.7,13.47,8400,12
D. Goedert,11.7,10.77,5800,15.2
K. Vaughn,11.7,10.70,2000,14.2
M. Sanders,11.6,10.82,8000,5.8
D. Schultz,11.4,12.81,6200,15.9
A. Dillon,11.2,11.20,5000,8.5
B. Aiyuk,11.0,12.92,6400,11.6
T. Boyd,10.9,11.11,6400,3.7
B. Aiyuk,10.9,13.81,6800,0
T. Boyd,10.7,12.08,5600,12.9
J. McKinnon,10.7,7.79,7000,12.8
T. Higbee,10.5,10.48,5400,9.1
O. Beckham,10.3,12.51,8400,12.9
T. Pollard,10.1,10.24,5200,4.6
J. Meyers,10.0,13.96,7400,10
C. Edwards-Helaire,9.8,10.14,7800,7.9
Z. Jones,9.7,10.23,5000,17.1
C. Beasley,9.6,10.07,6400,2.9
R. Cobb,9.5,9.72,4600,0
E. McPherson,9.4,8.89,4000,15
A. Lazard,9.4,11.53,5600,1.6
H. Butker,9.3,9.39,4200,13
D. Harris,8.9,9.87,10400,4.7
G. Zuerlein,8.9,9.45,4400,7
R. Gould,8.8,7.37,4200,16
D. Knox,8.8,10.44,6400,2.9
E. McPherson,8.6,8.61,4000,18
N. Agholor,8.5,6.64,2600,2.8
B. Perriman,8.5,9.82,5400,1.5
R. Bullock,8.5,8.69,4200,4
D. Carlson,8.3,9.25,3800,14
T. Bass,8.3,9.00,4000,5
R. Succop,8.3,9.51,4200,7
T. Bass,8.3,9.43,4000,4
C. Beasley,8.3,8.35,4400,12
C. Wilson,8.2,10.18,5400,11.2
R. Succop,8.2,9.24,3800,10
B. Pringle,8.2,10.97,5400,13.9
C. Uzomah,8.1,9.62,5600,14.1
M. Gay,8.1,9.09,4000,13
R. Gould,7.9,8.98,4000,8
M. Crosby,7.9,8.21,4200,4
N. Folk,7.8,8.13,4200,6
R. Stevenson,7.8,7.79,5000,10
V. Jefferson,7.7,9.02,4800,6.4
G. Davis,7.7,9.50,5200,55.1
H. Henry,7.6,8.55,6200,4
J. Elliott,7.4,8.29,4000,1
CIN D/ST,7.2,6.22,4200,8
D. Knox,7.2,9.17,6600,25.9
T. Johnson,7.2,8.84,2200,4.8
E. Sanders,7.1,8.28,5600,11.6
J. Jones,7.1,11.04,6200,12.2
TEN D/ST,7.1,5.50,3800,12
BUF D/ST,7.0,7.29,4800,8
TB D/ST,7.0,8.40,5000,9
C. Uzomah,6.9,9.02,5200,18.4
L. Bell,6.9,4.91,1600,0
B. Bolden,6.8,8.04,4600,6.7
GB D/ST,6.7,6.14,4400,10
G. Bernard,6.5,6.90,5200,0
S. Michel,6.5,6.21,5600,2
E. Sanders,6.5,7.29,5000,2.6
Q. Watkins,6.4,6.55,4600,5.5
NE D/ST,6.3,6.13,3400,0
K. Bourne,6.2,8.26,5200,28.1
DAL D/ST,6.2,6.73,4000,2
G. Bernard,6.1,7.05,200,19.3
J. Smith,6.0,4.27,1000,0
J. Jennings,6.0,7.42,4800,1.6
TB D/ST,6.0,7.18,3600,9
M. Hardman,6.0,7.07,4800,12.7
KC D/ST,6.0,5.87,3600,-2
CIN D/ST,5.7,5.71,3400,8
S. Miller,5.7,6.45,1600,7.8
N. Westbrook-Ikhine,5.6,3.53,5000,0
LV D/ST,5.5,5.50,3600,2
I. McKenzie,5.5,5.20,3000,2.8
J. Jennings,5.2,6.72,4800,5.9
J. Deguara,5.2,7.99,3000,0
B. Edwards,5.1,6.37,4800,7.1
T. Johnson,5.1,8.99,5200,5
SF D/ST,5.1,6.25,3600,8
F. Moreau,5.0,4.71,3200,0
C. Brate,5.0,7.62,3400,5.9
A. Firkser,5.0,5.83,5200,0
G. Swaim,4.9,5.31,1800,0
LA D/ST,4.9,6.82,3400,7
D. Hilliard,4.8,5.83,3000,4.3
S. Perine,4.7,4.60,2000,0.2
G. Davis,4.7,6.35,4400,12.1
Z. Moss,4.5,3.66,2000,0
BUF D/ST,4.5,5.79,3400,-2
J. Richard,4.3,6.43,2400,1.4
PHI D/ST,4.3,4.65,3200,3
SF D/ST,4.2,5.32,3400,21
C. Brate,4.0,7.41,2600,1.9
B. Scott,3.9,4.81,6400,10.5
I. McKenzie,3.7,6.25,1600,10.4
J. Reagor,3.6,6.22,3000,0.2
K. Juszczyk,3.6,5.24,2000,3.5
D. Foreman,3.5,5.98,4800,6.6
K. Juszczyk,3.5,4.24,2600,1.4
B. Jarwin,3.4,0.00,1600,0
E. St. Brown,3.4,2.93,400,0.1
C. Rogers,3.3,4.84,4600,1.3
S. Perine,3.3,2.78,2600,1.4
K. Gainwell,3.2,4.42,2400,16.5
G. Ward,3.2,1.56,800,0
T. Sherfield,3.2,2.52,200,0
K. Vaughn,3.2,4.14,5000,0
Z. Moss,3.2,1.76,1800,0
D. Robinson,3.1,6.84,2400,0
J. Howard,3.0,4.57,2800,1.7
S. Miller,3.0,3.86,4400,2.7
D. Jackson,2.6,5.38,1000,3.6
B. Skowronek,2.2,3.81,200,0
O. Howard,2.2,1.57,800,1.7
T. Sherfield,2.1,0.38,600,0
M. Lewis,2.1,2.55,1200,0
N. Harry,2.0,1.31,200,0
J. Hasty,1.9,3.17,2200,0
C. Evans,1.9,0.59,1000,0.4
P. Barber,1.8,1.09,1400,0
B. Bell,1.8,1.81,600,0
C. Clement,1.5,0.64,2800,0
P. Taylor,1.5,0.12,800,0
M. Mariota,1.4,1.01,6000,0
C. Evans,1.4,0.79,2800,0.9
T. Williams,1.4,0.00,200,0
M. Burton,1.4,0.48,200,0
D. Gore,1.4,0.51,1400,0
N. Gray,1.4,1.12,200,3.4
J. Darden,1.3,2.23,200,0
J. Wilson,1.3,1.24,3000,0
J. Sprinkle,1.3,0.15,400,0
J. Wilson,1.3,1.06,2200,0
