Player,NF,RW,Salary,Actual
A. Matthews,14.9,16.13,11000,48.3
S. Bennett,7.5,7.75,7800,41.00
J. Huberdeau,9.7,10.73,9600,37.90
M. Weegar,8.1,9.05,7000,37.1
C. Verhaeghe,9.3,9.56,7000,32
A. Lundell,6.0,7.36,6400,32
I. Mikheyev,9.3,7.62,8000,27.5
M. Marner,11.3,13.21,8600,25.8
I. Prosvetov,4.5,0.89,9200,25.30
A. Ovechkin,13.5,15.28,11000,24.6
A. Ekblad,11.7,10.18,9000,24.5
N. Sturm,6.4,3.13,2000,24.5
S. Bennett,9.0,8.64,8400,24
M. Boldy,0.0,9.00,5200,24
D. Kuemper,13.4,14.75,10600,23.5
M. Rantanen,15.9,16.11,9800,23.10
A. Duclair,8.5,8.10,7000,23.00
E. Pettersson,7.4,8.06,7200,23
S. Bobrovsky,14.3,11.06,11000,22.80
J. Benn,8.0,8.23,6800,22.60
S. Gostisbehere,6.7,8.36,8200,21.40
C. Keller,8.4,8.97,8000,21.00
A. Duclair,9.8,9.44,7400,20.8
M. Zuccarello,11.8,12.23,9200,20.8
T. Demko,13.2,13.87,9800,20.7
J. Boqvist,3.9,2.21,2000,20.6
J. Miller,9.5,8.95,8400,19.5
A. Burakovsky,11.3,9.51,7800,19.30
K. Fiala,10.9,12.40,8600,19.3
G. Nyquist,5.2,8.18,2000,19.1
B. Horvat,8.3,8.12,7600,19.1
M. Rantanen,14.8,15.36,10200,19.1
T. Jost,5.2,2.43,2000,19.00
S. Bobrovsky,14.1,10.87,11600,18.60
J. Skinner,8.1,7.29,7600,18.5
J. Huberdeau,11.9,12.52,9800,18.00
S. Reinhart,10.5,9.18,8200,18
C. Dewar,3.0,1.87,2400,18
V. Nichushkin,9.5,8.21,7400,18
J. Spurgeon,9.0,7.83,6600,17.8
R. Graves,6.3,6.74,6800,17.7
G. Landeskog,12.2,13.71,8800,17.1
A. Barkov,10.3,11.97,9400,17.00
R. Lomberg,4.7,2.80,2000,16.3
A. Kerfoot,7.1,6.53,4400,16.3
D. Toews,9.9,9.47,8600,15.80
P. Mrazek,0.0,0.66,10200,15.8
J. Schultz,6.5,2.63,4000,14.9
N. MacKinnon,13.8,17.69,11200,14.80
B. Jenner,7.3,8.64,7600,14.5
C. Verhaeghe,8.0,7.83,6400,14.30
T. Wilson,7.0,8.08,8200,14.3
N. Kadri,14.5,16.18,9800,14.3
J. Peterson,4.8,3.97,4600,13.80
C. Makar,12.8,12.74,9600,13.60
P. Hornqvist,7.5,4.09,4800,13.50
R. Hintz,9.5,10.74,9000,13.00
B. Montour,4.5,5.46,5000,13.00
K. Kaprizov,14.0,13.62,10800,13
J. Greenway,6.1,5.78,4000,13
D. Cozens,6.3,5.76,7000,13
G. Forsling,6.9,6.45,5600,12.80
P. Kessel,7.4,6.93,6000,12.80
P. Zacha,7.2,4.75,5000,12.8
N. Bastian,2.9,4.50,2000,12.8
R. Gudas,5.6,5.54,4800,12.7
J. Larsson,5.1,6.25,4800,12.60
A. Johnsson,6.0,1.90,4800,12.6
C. Talbot,15.0,15.79,11000,12.3
J. Hughes,8.1,7.92,8800,12.3
M. Rielly,10.0,10.42,8400,12.1
N. Kadri,12.2,15.51,8800,12.00
D. Tokarski,8.6,6.76,9800,11.9
Z. Werenski,10.1,9.14,8600,11.8
P. Francouz,13.8,11.46,10000,11.60
M. Foligno,8.5,8.07,6200,11.5
M. Hoffman,9.9,7.79,8000,11.5
A. Goligoski,5.7,7.18,5400,11.5
J. Benn,3.9,5.78,3800,11.5
R. Pitlick,3.8,3.89,2000,11.5
T. Seguin,7.0,8.11,6200,11.40
D. Toews,10.8,10.51,7800,11.4
Q. Hughes,7.5,8.01,8000,11.3
D. Mayo,5.7,4.31,4400,11.20
F. Gaudreau,6.1,5.96,5000,11
O. Ekman-Larsson,7.3,5.94,5200,10.8
C. Makar,12.3,12.83,9400,10.8
D. Sikura,3.4,2.17,2000,10.8
E. Lindell,6.5,7.59,6600,10.60
A. Peeke,4.9,4.78,2000,10.6
J. Petry,6.8,6.59,5600,10.6
E. Kuznetsov,10.7,9.58,9200,10
J. Spezza,7.0,2.13,2400,10
A. Boqvist,5.1,6.91,5800,9.9
L. Crouse,6.9,6.76,5400,9.50
B. Boeser,9.5,9.36,7000,9.5
N. Backstrom,9.6,7.81,8600,9.5
T. Brodie,6.1,5.95,4600,9.5
A. Lundell,5.1,6.20,6000,9.30
T. Pearson,6.9,6.45,5400,9.3
J. Bratt,8.9,8.49,8200,9.3
J. Bean,7.1,5.28,5200,9.1
M. Domi,5.6,5.58,2000,9.1
I. Samsonov,11.5,15.80,10600,9.1
S. Girard,7.7,7.49,6600,9.1
T. Myers,6.0,5.77,6600,8.6
C. Fitzgerald,4.8,3.40,2000,8.6
R. Suter,6.3,5.82,5800,8.40
V. Soderstrom,4.5,1.93,2400,8.40
T. van Riemsdyk,5.0,5.33,4800,8.4
P. Subban,5.5,5.78,5600,8.2
N. Hoglander,8.0,4.88,4200,7.8
L. Dauphin,4.1,3.14,2000,7.8
C. Paquette,1.9,1.69,2000,7.8
T. Liljegren,4.2,1.50,2000,7.8
J. Merrill,4.9,2.95,4200,7.6
J. Eriksson Ek,10.3,9.63,7800,7.3
A. Ekblad,10.9,8.71,8200,7.10
B. Montour,6.2,6.35,5600,7.1
M. Fehervary,5.7,3.35,3800,7.1
E. Johnson,6.5,3.04,5600,7.1
R. Dahlin,8.5,0.00,8200,7.1
A. Romanov,4.7,2.34,4600,6.9
J. Bryson,4.3,3.27,2000,6.9
K. MacDermid,1.5,0.56,2200,6.50
A. Barkov,11.9,13.72,10600,6.50
P. Hornqvist,8.7,4.88,5400,6.5
J. Evans,4.1,2.17,2000,6.5
A. Newhook,7.3,5.54,5800,6.5
D. Mercer,4.8,3.69,5200,6.5
J. Kuokkanen,2.8,2.26,2800,6.5
C. White,2.6,0.81,2000,6.5
A. Ladd,4.2,3.16,2000,6.30
L. O'Connor,6.9,3.27,4400,6.3
J. Kiviranta,3.1,1.84,3400,6.00
V. Nichushkin,9.1,9.96,7600,6.00
A. Tuch,9.1,10.15,8000,6
R. Gudas,4.4,4.58,3800,5.80
O. Bjorkstrand,8.8,9.50,7200,5.8
T. Motte,5.4,2.87,2000,5.8
R. Poehling,5.2,1.93,3400,5.8
N. Hischier,6.1,8.25,7200,5.8
R. Sandin,5.4,6.05,3800,5.8
I. Lyubushkin,4.2,3.62,2600,5.60
L. Eller,5.8,5.94,5800,5.6
E. Luostarinen,4.6,2.77,4600,5
J. Pavelski,10.6,10.34,8600,4.50
S. Kuraly,4.3,2.58,4000,4.5
T. Toffoli,8.5,9.19,8200,4.5
K. Okposo,8.6,5.57,6400,4.5
Y. Sharangovich,7.4,6.01,6000,4.5
O. Kase,8.4,7.55,7000,4.5
S. Girard,7.5,7.02,7400,4.30
N. Dowd,5.1,3.40,4400,4.3
L. Schenn,4.8,2.13,2000,4.3
J. Compher,6.2,6.31,5200,4.3
K. MacDermid,2.6,1.25,2000,4.3
J. Tavares,12.2,10.95,9400,4.3
J. Korpisalo,0.0,0.47,9200,4.2
J. Moser,5.1,4.57,4600,4.10
L. O'Connor,6.4,3.24,5200,4.10
J. Dickinson,4.2,1.60,3400,4.1
M. Dumba,9.2,8.42,8400,4.1
R. Hartman,8.8,11.14,9400,4.1
D. Severson,7.4,6.67,7600,4.1
R. Faksa,4.6,2.61,4400,3.00
N. Aube-Kubel,5.0,4.77,2000,3.00
E. Johnson,6.0,2.60,7000,3.00
A. Texier,5.9,5.17,2000,3
Y. Chinakhov,4.9,1.72,2000,3
D. Sprong,6.6,6.45,5000,3
A. Bjork,2.6,1.64,2000,3
T. Jost,4.9,2.17,3600,3
M. Maltsev,3.7,1.99,2000,3
C. Eakin,4.2,1.38,2000,3
W. Nylander,13.0,11.06,9200,3
J. Holl,5.2,5.73,4200,3
J. Vesey,3.5,2.02,2000,3
J. Hanley,2.6,1.55,3200,2.80
A. Khudobin,0.0,0.46,10200,2.80
T. Boyd,6.4,5.54,6200,2.80
A. Roussel,3.2,1.66,3000,2.80
R. Nash,2.5,1.54,2000,2.80
O. Juolevi,3.3,2.03,2000,2.8
M. Highmore,3.8,1.82,2000,2.8
B. Leason,4.0,1.24,2000,2.8
N. Suzuki,8.6,7.47,7400,2.8
B. Kulak,4.3,3.56,2000,2.8
C. Wideman,4.3,2.57,3000,2.8
J. Johnson,4.6,2.68,2000,2.60
N. Jensen,5.8,4.51,3600,2.6
J. Johnson,4.5,3.70,2000,2.6
J. Hayden,2.9,1.74,2000,2.6
J. Siegenthaler,4.3,4.50,4000,2.6
T. Smith,5.5,3.72,2000,2.6
M. Heiskanen,8.2,7.74,8000,1.50
J. Klingberg,8.2,7.65,7400,1.50
S. Reinhart,8.2,7.63,7600,1.50
M. Raffl,3.7,4.67,4000,1.50
F. Vatrano,6.2,3.27,4200,1.50
L. Glendening,3.8,2.32,2000,1.50
R. Lomberg,3.3,2.31,2000,1.50
O. Juolevi,2.6,1.57,2000,1.50
J. Compher,7.4,7.01,7200,1.50
C. Fischer,4.5,3.88,2000,1.50
N. Schmaltz,5.4,3.12,5800,1.50
R. Dzingel,0.0,2.46,2000,1.50
P. Laine,9.0,10.41,7800,1.5
G. Forsling,7.7,7.38,6200,1.5
J. Roslovic,6.4,5.75,4200,1.5
M. Mamin,0.0,2.35,2000,1.5
L. Foudy,0.0,2.33,2000,1.5
C. McMichael,5.3,3.59,2000,1.5
A. Protas,4.5,3.48,2000,1.5
G. Hathaway,5.7,3.08,3200,1.5
A. Lehkonen,6.2,4.99,2000,1.5
B. Duhaime,3.4,1.56,2800,1.5
A. Burakovsky,8.7,8.97,7200,1.5
P. Krebs,3.9,6.31,3800,1.5
R. Hagg,4.1,2.57,4600,1.5
N. Aube-Kubel,4.1,2.15,2000,1.5
V. Olofsson,7.3,0.00,6200,1.5
M. Bunting,9.2,6.62,6400,1.5
C. Primeau,5.7,9.11,9800,1.4
A. Schmid,6.8,2.88,9600,1.4
T. Kero,2.8,1.39,2000,1.30
V. Kolyachonok,3.8,0.68,4000,1.30
D. Kukan,3.8,2.06,2000,1.3
