Name,Round1,Round2,Round3,Round4,Round5,Decision,Draw,Salary
Tafon Nchukwi,0.109760345,0.064026868,0.040438022,0,0,0.16006717,0.015065145,7400
Kris Moutinho,0.174027493,0.111874817,0.06526031,0,0,0.223749634,0.015355367,8600
Dalcha Lungiambula,0.174694926,0.131021195,0.087347463,0,0,0.163776493,0.015414258,8300
Sabina Mazo,0.041739774,0.034480683,0.027346748,0,0,0.158611141,0.015550112,6800
Damon Jackson,0.104554107,0.078415581,0.046126812,0,0,0.261385269,0.015375604,7800
Trevin Jones,0.110719556,0.08158283,0.051669126,0,0,0.17223042,0.015196802,7500
JJ Aldrich,0.078992389,0.056423135,0.041574942,0,0,0.282115675,0.015488704,7700
Matthew Semelsberger,0.219508913,0.13968749,0.076828119,0,0,0.192070299,0.015064337,9300
Alex Pereira,0.308162525,0.140073875,0.070036938,0,0,0.085600701,0.015106006,8900
Drew Dober,0.240625029,0.101062512,0.050531256,0,0,0.18949221,0.014862134,9000
Khalil Rountree,0.140034849,0.096273959,0.064182639,0,0,0.140034849,0.015101797,8000
Sodiq Yussuff,0.158267831,0.113048451,0.079133915,0,0,0.344060502,0.015516454,9100
Marlon Moraes,0.063775086,0.054664359,0.038265051,0,0,0.127550172,0.015005903,7000
Thiago Santos,0.038770173,0.02982321,0.021538985,0.018912279,0.016856597,0.070491223,0.015203989,6600
Azamat Murzakanov,0.243911878,0.118203448,0.069847492,0,0,0.178679631,0.015065145,8800
Guido Cannetti,0.092132202,0.06526031,0.043506873,0,0,0.208832992,0.015355367,7600
Cody Brundage,0.087347463,0.065510597,0.043673732,0,0,0.231213873,0.015414258,7900
Miranda Maverick,0.12200857,0.083479548,0.061004285,0,0,0.45577914,0.015550112,9400
Kamuela Kirk,0.130692634,0.087128423,0.052277054,0,0,0.224044516,0.015375604,8400
Javid Basharat,0.17223042,0.119236444,0.070457899,0,0,0.206676504,0.015196802,8700
Gillian Robertson,0.164567477,0.105323185,0.071811263,0,0,0.18370323,0.015488704,8500
AJ Fletcher,0.118197107,0.080871705,0.048017575,0,0,0.109754456,0.015064337,6900
Bruno Silva,0.154081263,0.090636037,0.059262024,0,0,0.077040631,0.015106006,7300
Terrance McKinney,0.16843752,0.101062512,0.054140632,0,0,0.079786194,0.014862134,7200
Karl Roberson,0.179114342,0.102692223,0.070017425,0,0,0.192547917,0.015101797,8200
Alex Caceres,0.060872243,0.043963286,0.03440605,0,0,0.150731268,0.015516454,7100
Song Yadong,0.278291283,0.159437714,0.085033448,0,0,0.177976984,0.015005903,9200
Magomed Ankalaev,0.221543843,0.110771922,0.070491223,0.045611968,0.02982321,0.31016138,0.015203989,9600
