"","Name","Round1","Round2","Round3","Round4","Round5","Decision","Draw","Salary","Round1Scaled","Round2Scaled","Round3Scaled","Round4Scaled","Round5Scaled","DecisionScaled","DrawScaled","SalaryScaled","Pred"
"1","Tafon Nchukwi",0.109760345,0.064026868,0.040438022,0,0,0.16006717,0.015065145,7400,0.804165870961838,0.734798804196899,0.744152076050077,0,0,0.773386671210245,0.986367673129894,0.918114143920596,48.0106666666667
"2","Kris Moutinho",0.174027493,0.111874817,0.06526031,0,0,0.223749634,0.015355367,8600,1.27502305572792,1.28392164600878,1.20093893737363,0,0,1.08107730413283,1.00536952135844,1.06699751861042,67.7986666666667
"3","Dalcha Lungiambula",0.174694926,0.131021195,0.087347463,0,0,0.163776493,0.015414258,8300,1.2799130443641,1.50365339454756,1.60739306015406,0,0,0.791308778331984,1.00922532086375,1.02977667493797,69.5993333333333
"4","Sabina Mazo",0.041739774,0.034480683,0.027346748,0,0,0.158611141,0.015550112,6800,0.305809003355996,0.395714571518512,0.503242698107694,0,0,0.766351665709144,1.01812015684875,0.843672456575682,49.8023333333333
"5","Damon Jackson",0.104554107,0.078415581,0.046126812,0,0,0.261385269,0.015375604,7800,0.766022050297785,0.899929622501683,0.848838820834798,0,0,1.26291908012933,1.00669450844626,0.967741935483871,61.804
"6","Trevin Jones",0.110719556,0.08158283,0.051669126,0,0,0.17223042,0.015196802,7500,0.811193588934583,0.936278281283397,0.950830072266963,0,0,0.832155095919684,0.994987716862713,0.930521091811414,53.5616666666667
"7","JJ Aldrich",0.078992389,0.056423135,0.041574942,0,0,0.282115675,0.015488704,7700,0.578742562257264,0.647535221104993,0.765074003890733,0,0,1.363080904001,1.01409956056033,0.955334987593052,65.974
"8","Matthew Semelsberger",0.219508913,0.13968749,0.076828119,0,0,0.192070299,0.015064337,9300,1.60824545701393,1.60311137838675,1.41381307554737,0,0,0.928014215419479,0.986314770547151,1.15384615384615,70.194
"9","Alex Pereira",0.308162525,0.140073875,0.070036938,0,0,0.085600701,0.015106006,8900,2.25777155961403,1.60754569236818,1.28883981548085,0,0,0.413591626563108,0.989042985547515,1.10421836228288,74.268
"10","Drew Dober",0.240625029,0.101062512,0.050531256,0,0,0.18949221,0.014862134,9000,1.7629539704982,1.15983516430532,0.929890662253904,0,0,0.915557821833001,0.973075833742369,1.1166253101737,68.6283333333333
